Suhu Kelembaban Tanaman Hasil
16 23 1 Ideal
16 24 1 Ideal
16 25 1 Ideal
16 26 1 Ideal
16 27 1 Ideal
16 28 1 Ideal
22 23 1 Ideal
22 24 1 Ideal
22 25 1 Ideal
22 26 1 Ideal
22 27 1 Ideal
22 28 1 Ideal
28 23 1 Ideal
28 24 1 Ideal
28 25 1 Ideal
28 26 1 Ideal
28 27 1 Ideal
28 28 1 Ideal
34 23 1 Ideal
34 24 1 Ideal
34 25 1 Ideal
34 26 1 Ideal
34 27 1 Ideal
34 28 1 Ideal
16 20 1 siram
16 21 1 siram
16 22 1 siram
16 23 1 siram
16 24 1 siram
22 20 1 siram
22 21 1 siram
22 22 1 siram
22 23 1 siram
22 24 1 siram
28 20 1 siram
28 21 1 siram
28 22 1 siram
28 23 1 siram
28 24 1 siram
34 20 1 siram
34 21 1 siram
34 22 1 siram
34 23 1 siram
34 24 1 siram
16 60 2 Ideal
16 61 2 Ideal
16 62 2 Ideal
16 63 2 Ideal
16 64 2 Ideal
16 65 2 Ideal
16 66 2 Ideal
16 67 2 Ideal
16 68 2 Ideal
16 69 2 Ideal
16 70 2 Ideal
16 71 2 Ideal
16 72 2 Ideal
16 73 2 Ideal
16 74 2 Ideal
16 75 2 Ideal
16 76 2 Ideal
16 77 2 Ideal
16 78 2 Ideal
16 79 2 Ideal
16 80 2 Ideal
20 60 2 Ideal
20 61 2 Ideal
20 62 2 Ideal
20 63 2 Ideal
20 64 2 Ideal
20 65 2 Ideal
20 66 2 Ideal
20 67 2 Ideal
20 68 2 Ideal
20 69 2 Ideal
20 70 2 Ideal
20 71 2 Ideal
20 72 2 Ideal
20 73 2 Ideal
20 74 2 Ideal
20 75 2 Ideal
20 76 2 Ideal
20 77 2 Ideal
20 78 2 Ideal
20 79 2 Ideal
20 80 2 Ideal
24 60 2 Ideal
24 61 2 Ideal
24 62 2 Ideal
24 63 2 Ideal
24 64 2 Ideal
24 65 2 Ideal
24 66 2 Ideal
24 67 2 Ideal
24 68 2 Ideal
24 69 2 Ideal
24 70 2 Ideal
24 71 2 Ideal
24 72 2 Ideal
24 73 2 Ideal
24 74 2 Ideal
24 75 2 Ideal
24 76 2 Ideal
24 77 2 Ideal
24 78 2 Ideal
24 79 2 Ideal
24 80 2 Ideal
28 60 2 Ideal
28 61 2 Ideal
28 62 2 Ideal
28 63 2 Ideal
28 64 2 Ideal
28 65 2 Ideal
28 66 2 Ideal
28 67 2 Ideal
28 68 2 Ideal
28 69 2 Ideal
28 70 2 Ideal
28 71 2 Ideal
28 72 2 Ideal
28 73 2 Ideal
28 74 2 Ideal
28 75 2 Ideal
28 76 2 Ideal
28 77 2 Ideal
28 78 2 Ideal
28 79 2 Ideal
28 80 2 Ideal
16 50 2 siram
16 51 2 siram
16 52 2 siram
16 53 2 siram
16 54 2 siram
16 55 2 siram
16 56 2 siram
16 57 2 siram
16 58 2 siram
16 59 2 siram
16 60 2 siram
20 50 2 siram
20 51 2 siram
20 52 2 siram
20 53 2 siram
20 54 2 siram
20 55 2 siram
20 56 2 siram
20 57 2 siram
20 58 2 siram
20 59 2 siram
20 60 2 siram
24 50 2 siram
24 51 2 siram
24 52 2 siram
24 53 2 siram
24 54 2 siram
24 55 2 siram
24 56 2 siram
24 57 2 siram
24 58 2 siram
24 59 2 siram
24 60 2 siram
28 50 2 siram
28 51 2 siram
28 52 2 siram
28 53 2 siram
28 54 2 siram
28 55 2 siram
28 56 2 siram
28 57 2 siram
28 58 2 siram
28 59 2 siram
28 60 2 siram
19 65 3 Ideal
19 66 3 Ideal
19 67 3 Ideal
19 68 3 Ideal
19 69 3 Ideal
19 70 3 Ideal
20 65 3 Ideal
20 66 3 Ideal
20 67 3 Ideal
20 68 3 Ideal
20 69 3 Ideal
20 70 3 Ideal
21 65 3 Ideal
21 66 3 Ideal
21 67 3 Ideal
21 68 3 Ideal
21 69 3 Ideal
21 70 3 Ideal
22 65 3 Ideal
22 66 3 Ideal
22 67 3 Ideal
22 68 3 Ideal
22 69 3 Ideal
22 70 3 Ideal
23 65 3 Ideal
23 66 3 Ideal
23 67 3 Ideal
23 68 3 Ideal
23 69 3 Ideal
23 70 3 Ideal
24 65 3 Ideal
24 66 3 Ideal
24 67 3 Ideal
24 68 3 Ideal
24 69 3 Ideal
24 70 3 Ideal
25 65 3 Ideal
25 66 3 Ideal
25 67 3 Ideal
25 68 3 Ideal
25 69 3 Ideal
25 70 3 Ideal
19 60 3 siram
19 61 3 siram
19 62 3 siram
19 63 3 siram
19 64 3 siram
19 65 3 siram
20 60 3 siram
20 61 3 siram
20 62 3 siram
20 63 3 siram
20 64 3 siram
20 65 3 siram
21 60 3 siram
21 61 3 siram
21 62 3 siram
21 63 3 siram
21 64 3 siram
21 65 3 siram
22 60 3 siram
22 61 3 siram
22 62 3 siram
22 63 3 siram
22 64 3 siram
22 65 3 siram
23 60 3 siram
23 61 3 siram
23 62 3 siram
23 63 3 siram
23 64 3 siram
23 65 3 siram
24 60 3 siram
24 61 3 siram
24 62 3 siram
24 63 3 siram
24 64 3 siram
24 65 3 siram
25 60 3 siram
25 61 3 siram
25 62 3 siram
25 63 3 siram
25 64 3 siram
25 65 3 siram
